,PLAYER_ID,PLAYER_NAME,TEAM_ID,Team,Age,Season,FGM,FGA,FG%,Distance
245,1630579,Jericho Sims,1610612752,NYK,24.0,2022-23,77,95,0.811,0
246,1628975,Jevon Carter,1610612749,MIL,27.0,2022-23,31,68,0.456,0
247,202710,Jimmy Butler,1610612748,MIA,33.0,2022-23,267,417,0.64,0
248,1629111,Jock Landale,1610612756,PHX,27.0,2022-23,121,172,0.703,0
249,203925,Joe Harris,1610612751,BKN,31.0,2022-23,45,72,0.625,0
250,204060,Joe Ingles,1610612749,MIL,35.0,2022-23,17,29,0.586,0
251,1630580,Joe Wieskamp,1610612761,TOR,23.0,2022-23,0,2,0.0,0
252,203954,Joel Embiid,1610612755,PHI,29.0,2022-23,336,460,0.73,0
253,1631219,John Butler Jr.,1610612757,POR,20.0,2022-23,7,11,0.636,0
254,1628381,John Collins,1610612737,ATL,25.0,2022-23,198,267,0.742,0
255,1629723,John Konchar,1610612763,MEM,27.0,2022-23,72,112,0.643,0
256,202322,John Wall,1610612746,LAC,32.0,2022-23,63,112,0.563,0
257,1631098,Johnny Davis,1610612764,WAS,21.0,2022-23,25,37,0.676,0
258,1630548,Johnny Juzang,1610612762,UTA,22.0,2022-23,8,10,0.8,0
259,202685,Jonas Valanciunas,1610612740,NOP,30.0,2022-23,261,389,0.671,0
260,1628371,Jonathan Isaac,1610612753,ORL,25.0,2022-23,10,21,0.476,0
261,1630228,Jonathan Kuminga,1610612744,GSW,20.0,2022-23,161,237,0.679,0
262,203903,Jordan Clarkson,1610612762,UTA,30.0,2022-23,134,224,0.598,0
263,1630692,Jordan Goodwin,1610612764,WAS,24.0,2022-23,65,103,0.631,0
264,1631160,Jordan Hall,1610612759,SAS,21.0,2022-23,3,4,0.75,0
265,1629162,Jordan McLaughlin,1610612750,MIN,27.0,2022-23,23,40,0.575,0
266,1629670,Jordan Nwora,1610612754,IND,24.0,2022-23,70,129,0.543,0
267,1629673,Jordan Poole,1610612744,GSW,23.0,2022-23,210,324,0.648,0
268,1630648,Jordan Schakel,1610612764,WAS,24.0,2022-23,0,0,0.0,0
269,1630631,Jose Alvarado,1610612740,NOP,25.0,2022-23,84,142,0.592,0
270,1630528,Josh Christopher,1610612745,HOU,21.0,2022-23,78,118,0.661,0
271,1630581,Josh Giddey,1610612760,OKC,20.0,2022-23,292,486,0.601,0
272,1630182,Josh Green,1610612742,DAL,22.0,2022-23,107,148,0.723,0
273,1628404,Josh Hart,1610612752,NYK,28.0,2022-23,182,266,0.684,0
274,1631169,Josh Minott,1610612750,MIN,20.0,2022-23,15,27,0.556,0
275,1629006,Josh Okogie,1610612756,PHX,24.0,2022-23,71,136,0.522,0
276,1626196,Josh Richardson,1610612740,NOP,29.0,2022-23,38,62,0.613,0
277,1630563,Joshua Primo,1610612759,SAS,20.0,2022-23,2,6,0.333,0
278,201950,Jrue Holiday,1610612749,MIL,32.0,2022-23,182,278,0.655,0
279,1629308,Juan Toscano-Anderson,1610612762,UTA,30.0,2022-23,46,71,0.648,0
280,1627823,Juancho Hernangomez,1610612761,TOR,27.0,2022-23,30,42,0.714,0
281,1630577,Julian Champagnie,1610612759,SAS,21.0,2022-23,19,32,0.594,0
282,203944,Julius Randle,1610612752,NYK,28.0,2022-23,250,380,0.658,0
283,1630551,Justin Champagnie,1610612738,BOS,21.0,2022-23,3,7,0.429,0
284,203200,Justin Holiday,1610612742,DAL,34.0,2022-23,23,32,0.719,0
285,1628382,Justin Jackson,1610612738,BOS,28.0,2022-23,1,2,0.5,0
286,1631303,Justin Minaya,1610612757,POR,24.0,2022-23,3,6,0.5,0
287,1626159,Justise Winslow,1610612757,POR,27.0,2022-23,48,92,0.522,0
288,203994,Jusuf Nurkic,1610612757,POR,28.0,2022-23,182,299,0.609,0
289,1629644,KZ Okpala,1610612758,SAC,23.0,2022-23,8,12,0.667,0
290,1630539,Kai Jones,1610612766,CHA,22.0,2022-23,53,71,0.746,0
