,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM,Age,Season,FGM,FGA,FG%,Zone
300,1629134,Kendrick Nunn,1610612764,WAS,27.0,2022-23,53,84,0.631,0
301,1631113,Kennedy Chandler,1610612763,MEM,20.0,2022-23,19,35,0.543,0
302,1631254,Kenneth Lofton Jr.,1610612763,MEM,20.0,2022-23,37,48,0.771,0
303,1629026,Kenrich Williams,1610612760,OKC,28.0,2022-23,90,130,0.692,0
304,203484,Kentavious Caldwell-Pope,1610612743,DEN,30.0,2022-23,76,121,0.628,0
305,1630231,Kenyon Martin Jr.,1610612745,HOU,22.0,2022-23,289,383,0.755,0
306,1631165,Keon Ellis,1610612758,SAC,23.0,2022-23,0,0,0.0,0
307,1630553,Keon Johnson,1610612757,POR,21.0,2022-23,27,43,0.628,0
308,1630556,Kessler Edwards,1610612758,SAC,22.0,2022-23,14,20,0.7,0
309,201142,Kevin Durant,1610612756,PHX,34.0,2022-23,83,105,0.79,0
310,1628989,Kevin Huerter,1610612758,SAC,24.0,2022-23,104,142,0.732,0
311,1628995,Kevin Knox II,1610612757,POR,23.0,2022-23,63,91,0.692,0
312,201567,Kevin Love,1610612748,MIA,34.0,2022-23,31,53,0.585,0
313,1629645,Kevin Porter Jr.,1610612745,HOU,22.0,2022-23,125,191,0.654,0
314,1630284,Kevon Harris,1610612753,ORL,25.0,2022-23,27,48,0.563,0
315,1626172,Kevon Looney,1610612744,GSW,27.0,2022-23,189,264,0.716,0
316,203920,Khem Birch,1610612759,SAS,30.0,2022-23,12,15,0.8,0
317,203114,Khris Middleton,1610612749,MIL,31.0,2022-23,42,63,0.667,0
318,1630165,Killian Hayes,1610612765,DET,21.0,2022-23,52,94,0.553,0
319,1630184,Kira Lewis Jr.,1610612740,NOP,22.0,2022-23,15,27,0.556,0
320,202691,Klay Thompson,1610612744,GSW,33.0,2022-23,70,108,0.648,0
321,1628424,Kobi Simmons,1610612766,CHA,25.0,2022-23,0,1,0.0,0
322,1627739,Kris Dunn,1610612762,UTA,29.0,2022-23,35,53,0.66,0
323,204001,Kristaps Porzingis,1610612764,WAS,27.0,2022-23,156,214,0.729,0
324,203937,Kyle Anderson,1610612750,MIN,29.0,2022-23,93,154,0.604,0
